3/31/1994,6/30/1994,9/30/1994,12/31/1994,3/31/1995,6/30/1995,9/30/1995,12/31/1995,3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/30/2000,12/31/2000,3/31/2001,6/30/2001,9/30/2001,12/31/2001,3/31/2002,6/30/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/31/2005,3/31/2006,6/30/2006,9/30/2006,12/31/2006,3/31/2007,6/30/2007,9/30/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/31/2011,3/31/2012,6/30/2012,9/30/2012,12/31/2012,3/31/2013,6/30/2013,9/30/2013,,,,,,,,,,,,,,,,,
7.7,6.5,4.5,5,2.2,-3.6,-4.4,-5,-0.6,5.1,8.2,9.2,8.4,8.1,8.4,7.7,6,6.9,3.2,-0.4,-2.5,-4.9,-5.1,-0.9,-0.2,-0.4,-0.6,-1.9,-2,-0.2,-4.9,-10.5,-16.3,-13.5,-9.8,-3.4,5.4,7.7,10.2,11.7,11.3,7.1,8.7,9.3,8,10.4,9.2,9,8.8,7.7,8.7,8.6,8,8.6,8.8,9.1,8.5,7.8,6.9,4.1,2,-0.8,-0.3,2.6,6.8,11.8,8.6,9.2,9.9,9.1,9.3,7.3,5.2,0,0.7,2.1,3,8.3,5.5,,,,,,,,,,,,,,,,,
12/31/1990,12/31/1991,12/31/1992,12/31/1993,12/31/1994,12/31/1995,12/31/1996,12/31/1997,12/31/1998,12/31/1999,12/31/2000,12/31/2001,12/31/2002,12/31/2003,12/31/2004,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3,-1.23,2.7,4.05,4.7,2.95,4.28,4.1,5,4.2,3.1,2.63,3.93,3.05,4.1,3.15,2.7,4.55,2.68,1.55,2.25,2.58,3.6,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,12/31/1991,12/31/1992,12/31/1993,12/31/1994,12/31/1995,12/31/1996,12/31/1997,12/31/1998,12/31/1999,12/31/2000,12/31/2001,12/31/2002,12/31/2003,12/31/2004,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3,-1.23,2.7,4.05,4.7,2.95,4.28,4.1,5,4.2,3.1,2.63,3.93,3.05,4.1,3.15,2.7,4.55,2.68,1.55,2.25,2.58,3.6,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,12/31/1991,12/31/1992,12/31/1993,12/31/1994,12/31/1995,12/31/1996,12/31/1997,12/31/1998,12/31/1999,12/31/2000,12/31/2001,12/31/2002,12/31/2003,12/31/2004,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1,1.9,2.9,9.5,7.1,5.1,4.3,4.1,-2.6,7.1,20.4,-0.5,7.1,14.8,15.3,19.8,15.9,17.4,18.3,-10.8,12.1,13,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,3/31/1992,6/30/1992,9/30/1992,12/31/1992,3/31/1993,6/30/1993,9/30/1993,12/31/1993,3/31/1994,6/30/1994,9/30/1994,12/31/1994,3/31/1995,6/30/1995,9/30/1995,12/31/1995,3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/30/2000,12/31/2000,3/31/2001,6/30/2001,9/30/2001,12/31/2001,3/31/2002,6/30/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/31/2005,3/31/2006,6/30/2006,9/30/2006,12/31/2006,3/31/2007,6/30/2007,9/30/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/31/2011,3/31/2012,6/30/2012,9/30/2012,12/31/2012,3/31/2013,6/30/2013,9/30/2013,12/31/2013,,,,,,,
8.29,-3.15,-2.12,-0.9,4.23,4.75,4.44,5.04,4.44,3.51,2.2,5.49,9.78,10.1,8.87,1.79,-1.78,-0.87,1.06,5.98,2.25,3.7,4.96,1.58,3.4,0.8,1.46,-0.07,-1.95,0.57,-0.77,-0.96,2.26,4.73,3.91,4.22,4.38,3.52,2.31,0.28,-0.69,0.09,1.88,3.72,4.86,2.34,0.88,0.58,0.88,4.23,6.19,6.28,6.08,4.16,4.33,2.1,2.13,4.33,1.93,4.74,4.85,5.16,6.43,6.06,6.68,6.29,6.45,7.11,0.95,-2.71,-2.4,-1.47,5.31,9.34,8.76,6.93,5.33,4.24,3.31,2.12,1.37,0.8,0.55,0.94,1.83,1.75,3.28,2.16,1.93,,,,,,,
3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/30/2000,12/31/2000,3/31/2001,6/30/2001,9/30/2001,12/31/2001,3/31/2002,6/30/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/31/2005,3/31/2006,6/30/2006,9/30/2006,12/31/2006,3/31/2007,6/30/2007,9/30/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/31/2011,3/31/2012,6/30/2012,9/30/2012,12/31/2012,3/31/2013,6/30/2013,9/30/2013,12/31/2013,,,,,,,,,,,,,,,,,,,,,,,,
-3.8,-5.9,-14,-9.9,-8.2,-1.3,6.4,-4.3,17.2,5.8,6.1,-3.9,5.9,4.4,3.2,-3.8,6.7,8.3,2.6,6.1,4,4,4.1,4.4,4.3,5.3,5,4,5.6,6,3.6,6.9,5.6,7.5,7.5,6.4,6.5,7,5.4,6.7,4.9,7,6.8,7,6.3,8,5.4,6.3,7.2,7.1,7.1,3.8,-4.9,-4.1,-5,-7.6,-4.5,1.2,0.8,3.1,2.1,2.9,1.9,0.6,0.9,0.6,0.6,0.4,0.9,-0.1,1.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,12/31/1991,12/31/1992,12/31/1993,12/31/1994,12/31/1995,12/31/1996,12/31/1997,12/31/1998,12/31/1999,12/31/2000,12/31/2001,12/31/2002,12/31/2003,12/31/2004,12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.13,-2.11,0.85,2.61,4.55,2.76,1.68,4.25,4.14,4.99,5.13,1.7,2.8,1.93,3.14,3.16,2.63,2.01,1.18,-2.71,3.38,2.53,1.71,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/30/2000,12/31/2000,3/31/2001,6/30/2001,9/30/2001,12/31/2001,3/31/2002,6/30/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/31/2005,3/31/2006,6/30/2006,9/30/2006,12/31/2006,3/31/2007,6/30/2007,9/30/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/31/2011,3/31/2012,6/30/2012,9/30/2012,12/31/2012,3/31/2013,6/30/2013,9/30/2013,12/31/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.87,6.15,7.26,8.2,7.07,6.14,3.94,-1.46,-2.38,-4.05,-1,4.86,5.56,5.53,4.83,3.63,3.68,4.16,2.48,2.34,1.18,1.58,3.51,4.11,4.06,3.56,3.5,3.44,4.61,5.26,7.6,8.52,6.09,6.4,5.64,5.19,5.81,5.29,4.59,5.84,5.5,5.44,4.08,4.64,5.07,4.37,3.69,-0.27,-3.1,-3.1,-0.61,2.56,2.45,6.57,7.37,6.52,9.46,5.71,3.3,5.2,5.08,5.81,5.45,5.2,4.93,3.83,5.01,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
