Alpha3,Country,5Y CDS,EIU Banking Risk,CPI,Currency 3M Volatility,Currency REER,Equity,External Debt,EIU Political Risk,Trade Balance,Unemployment
ARG,Argentina,ARGENT CDS USD SR 5Y CBGN Curncy,EIBAARGE Index,EHPIARY Index,USDARSH3M BGN Curncy,BISBARR  Index,MERVAL Index,WDTLARGE Index,EIPRARGE Index,ARUERATE Index,
,,,,,,,,,,,
AUS,Australia,AUSTLA CDS USD SR 5Y CBGN Curncy,EIBAAUST Index,EHPIAT Index,AUDUSDH3M curncy,BISBAUR Index,AS51 Index,WDTLAUST Index,EIPRAUST Index,IUERAUS Index,
,,,,,,,,,,,
AUT,Austria,AUST CDS USD SR 5Y CBGN Curncy,EIBAAUSI Index,EHPIATY Index,EURUSDH3M CURNCY,BISBATR Index,ATX Index,WDTLASTI Index,EIPRAUSI Index,IUERAUS Index,
,,,,,,,,,,,
BHR,Bahrain,BHRAIN CDS USD SR 5Y MSG1 Corp,EIBABAHR Index,EHPIBHY Index,USDBHDH3M BGN Curncy,419.028 Index,BHSEASI Index,,EIPRBAHR Index,,
,,,,,,,,,,,
BRA,Brazil,BRAZIL CDS USD SR 5Y CBGN Curncy,EIBABRAZ Index,EHPIBRY Index,USDBRLH3M BGN Curncy,BISBBRR Index,IBOV Index,WDTLBRAZ Index,EIPRBRAZ Index,BZUETOTN Index,
,,,,,,,,,,,
BGR,Bulgaria,BGARIA CDS USD SR 5Y CBGN Curncy,EIBABULG Index,EHPIBGY Index,USDBGNH3M BGN Curncy,BISBBGR  Index,SOFIX Index,WDTLBULG Index,EIPRBULG Index,BUUERATE Index,
,,,,,,,,,,,
CAN,Canada,CANPAC CDS USD SR CBGN Curncy,EIBACANA Index,EHPICAY Index,USDCADH3M Curncy,BISBCAR Index,SPTSX Index,WDTLCANA Index,EIPRCANA Index,IUERCAN Index,
,,,,,,,,,,,
CHL,Chile,CHILE CDS USD SR 5Y CBGN Curncy,EIBACHIL Index,EHPICLY Index,USDCLPH3M BGN Curncy,BISBCLR  Index,IPSA Index,WDTLCHIL Index,EIPRCHIL Index,EHUPCLY Index,
,,,,,,,,,,,
CHN,China,CHINAGOV CDS USD SR 5Y CBGN Curncy,EIBACHIN Index,EHPICNY Index,USDCNYH3M BGN Curncy,BISBCNR Index,SHCOMP Index,WDTLCHHK Index,EIPRCHIN Index,EHUPCNY Index,
,,,,,,,,,,,
COL,Colombia,COLOM CDS USD SR 5Y CBGN Curncy,EIBACOLO Index,EHPICOY Index,USDCOPH3M BGN Curncy,233.028 Index,IGBC Index,WDTLCOLO Index,EIPRCOLO Index,COUNTOTR Index,
,,,,,,,,,,,
HRV,Croatia,CROATB CDS USD SR 5Y CBGN Curncy,EIBACROA Index,EHPIHRY Index,USDHRKH3M BGN Curncy,BISBHRR Index,CRO Index,WDTLCROA Index,EIPRCROA Index,CQUER Index,
,,,,,,,,,,,
CZE,Czech Republic,CZECH CDS USD SR 5Y CBGN Curncy,EIBACZEC Index,EHPICZY Index,USDCZKH3M BGN Curncy,BISBCZR  Index,PX Index,WDTLCZEC Index,EIPRCZEC Index,CZJLR Index,
,,,,,,,,,,,
DNK,Denmark,DENK CDS USD SR 5Y CBGN Curncy,EIBADENM Index,EHPIDKY Index,USDDKKH3M Curncy,BISBDKN Index,KFX Index,WDTLDENM Index,EIPRDENM Index,IUERDNK Index,
