date,Line 1,Line 2,Line 3,Line 4
1/1/00,11.361,40.863,106.118,33.896
1/1/01,9.552,39.713,123.521,32.408
1/1/02,8.576,38.091,137.61,33.204
1/1/03,7.549,35.853,140.896,34.865
1/1/04,6.716,32.109,156.805,36.044
1/1/05,6.312,30.235,164.498,36.149
1/1/06,5.76,27.934,161.806,36.039
1/1/07,5.181,25.183,164.546,35.703
1/1/08,4.922,28.642,180.783,40.183
1/1/09,8.195,35.716,183.53,53.573
1/1/10,10.966,36.073,183.53,61.274
5/1/08,11.361,73.8,70.86987,71.22524
6/1/08,9.552,73.6,70.85164,71.10571
7/1/08,8.576,73.5,70.68008,70.892
8/1/08,7.549,73.5,70.78835,70.70468
9/1/08,6.716,73.6,70.80603,70.50166
10/1/08,6.312,73.5,70.84274,70.36867
11/1/08,5.76,73.3,70.95702,69.93706
12/1/08,5.181,73,70.65752,69.56481
1/1/09,4.922,72.5,70.73147,69.04002
2/1/09,8.195,72,70.46809,68.75864
3/1/09,10.966,71.8,70.0565,68.25459
5/1/08,107.4,107.1,101.7,110.9
6/1/08,107.7,107.9,102.2,112
7/1/08,107.6,108.2,102.4,112.6
8/1/08,107.4,108.1,102.7,112.2
9/1/08,107.7,108.2,102.7,112
10/1/08,107.6,107,102.6,110.9
11/1/08,107.3,106.7,101.7,108.8
12/1/08,107.1,105.9,101.3,107.6
1/1/09,106.6,105.6,100.7,108.1
2/1/09,107,106.4,100.4,108.7
3/1/09,107.2,106.6,100.7,108.9
4/1/09,107.4,106.5,100.8,109.2
5/1/09,107.7,107.2,100.6,109.5
6/1/09,107.6,107.6,100.4,110.4
7/1/09,107.3,107.2,100.1,110.3
8/1/09,107.7,107.2,100.4,110.5
9/1/09,107.8,107.2,100.4,110.6
10/1/09,107.8,107.1,100,110.7
11/1/09,108,107.7,99.8,110.8
12/1/09,108.2,107.3,99.6,110.6
1/1/10,107.9,107.6,99.7,111
2/1/10,108.1,108.1,99.6,111
3/1/10,109.3,108.1,99.9,111.4
4/1/10,109.6,108.4,100,111.6
5/1/10,109.7,108.7,99.9,111.7
6/1/10,109.7,108.6,99.7,111.6
7/1/10,109.3,109.2,99.1,111.6
8/1/10,109.5,109.1,99.3,111.8
9/1/10,109.8,109.3,99.5,111.9
10/1/10,110.1,109.7,99.8,112
11/1/10,110,109.8,99.5,112
12/1/10,110.7,109.8,99.2,112.2
1/1/11,110.6,110.1,99.1,112.8
2/1/11,111.4,110.4,99.1,113.3
3/1/11,112.7,111.6,99.4,114.4
4/1/11,113.2,112,99.5,115.2
5/1/11,113.3,112.7,99.5,115.7
6/1/11,113.3,112,99.3,115.6
7/1/11,113.1,112.2,99.3,115.7
8/1/11,113.3,112.5,99.5,116
9/1/11,113.8,112.7,99.5,116.2
10/1/11,113.9,112.9,99.6,115.9
11/1/11,114,113,99,115.8
12/1/11,114.2,112.4,99,115.6
1/1/12,113.7,112.8,99.2,116.1
2/1/12,114.2,113.3,99.4,116.6
3/1/12,115.4,113.8,99.9,117.5
4/1/12,115.8,114.2,100,117.8
5/1/12,115.7,114.1,99.7,117.7
6/1/12,115.8,113.7,99.2,117.5
7/1/12,115.5,113.6,98.9,117.3
8/1/12,115.8,113.9,99,118
9/1/12,116.8,114,99.2,118.5
10/1/12,117.1,114.2,99.2,118.4
11/1/12,117.2,114,98.8,117.9
12/1/12,117.4,113.3,98.9,117.6
1/1/13,116.7,113.4,98.9,117.9
2/1/13,117.1,114.7,98.8,118.9
3/1/13,118,114.9,99,119.2
4/1/08,0.322530177,0.487575577,-1.211608,0.329393674
7/1/08,0.719161238,0.687349003,-1.048973498,-0.928590211
10/1/08,-0.714621757,-1.10731091,-3.248118907,-2.300768187
1/1/09,0.948890662,-2.241384557,-4.001615871,-1.338921877
4/1/09,0.005347498,-0.916059149,1.681314514,-0.078672016
7/1/09,0.712367508,0.413730539,0.027603546,0.359814188
10/1/09,0.817646052,1.130675622,1.837807076,0.991629206
1/1/10,0.544772582,1.197893872,1.45349234,0.578726181
4/1/10,0.701573667,0.811817143,1.003532803,0.556087615
7/1/10,0.680793026,0.458490123,1.354243021,0.644413039
10/1/10,0.836913751,1.084675368,-0.364925908,0.592971344
1/1/11,-0.447146488,0.613821371,-1.804990147,0.019725063
4/1/11,1.312298438,-0.20943943,-0.855743258,0.613631882
7/1/11,1.183831041,1.423050254,2.542266842,0.318137613
10/1/11,0.587360864,0.53251806,0.100300377,1.00774786
1/1/12,1.218325343,0.286423072,1.50181406,0.48657094
4/1/12,0.646755403,0.474190407,-0.224074176,0.311704081
7/1/12,0.649948015,0.18293058,-0.928727296,0.767612651
10/1/12,0.595724198,0.152856134,0.038731645,0.094488189
